ResNet (SiLU/32) | L:0.5 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37087 (Epoch 1540)
ResNet (GELU/32) | L:0.5 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.37088 (Epoch 860)
ResNet (SiLU/32) | L:2.0 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37089 (Epoch 1440)
ResNet (SiLU/32) | L:0.5 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37090 (Epoch 1460)
ResNet (SiLU/32) | L:0.2 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37100 (Epoch 1390)
ResNet (SiLU/32) | L:0.2 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37103 (Epoch 1380)
ResNet (SiLU/32) | L:0.2 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37107 (Epoch 1390)
ResNet (SiLU/32) | L:0.2 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37112 (Epoch 1480)
ResNet (SiLU/128) | L:2.0 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37113 (Epoch 430)
ResNet (SiLU/128) | L:0.2 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.37117 (Epoch 1010)
ResNet (SiLU/32) | L:0.2 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37118 (Epoch 1440)
ResNet (SiLU/32) | L:0 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/32) | L:0 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/32) | L:0 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/32) | L:0 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/32) | L:0 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/32) | L:0 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/32) | L:0 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/32) | L:0 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/32) | L:0 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37120 (Epoch 1380)
ResNet (SiLU/128) | L:0.5 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37122 (Epoch 430)
ResNet (SiLU/128) | L:0.2 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.37123 (Epoch 430)
ResNet (SiLU/32) | L:2.0 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37127 (Epoch 1410)
ResNet (SiLU/32) | L:0.5 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37128 (Epoch 1370)
ResNet (SiLU/128) | L:0.2 W:50 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.37128 (Epoch 850)
ResNet (SiLU/32) | L:2.0 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37137 (Epoch 1480)
ResNet (SiLU/32) | L:0.2 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37145 (Epoch 1540)
ResNet (SiLU/32) | L:0.2 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37149 (Epoch 1420)
ResNet (SiLU/32) | L:0.5 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37155 (Epoch 1320)
ResNet (SiLU/32) | L:0.5 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37157 (Epoch 1380)
ResNet (SiLU/32) | L:2.0 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37160 (Epoch 1430)
ResNet (SiLU/32) | L:0.5 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37167 (Epoch 1520)
ResNet (SiLU/32) | L:0.5 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37167 (Epoch 1480)
ResNet (SiLU/32) | L:2.0 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37174 (Epoch 1430)
ResNet (SiLU/128) | L:0.2 W:150 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.37178 (Epoch 1090)
ResNet (SiLU/128) | L:2.0 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37180 (Epoch 560)
ResNet (SiLU/32) | L:2.0 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37181 (Epoch 1440)
ResNet (SiLU/32) | L:2.0 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37185 (Epoch 1540)
ResNet (SiLU/128) | L:0 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37189 (Epoch 470)
ResNet (SiLU/128) | L:0.5 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.37196 (Epoch 850)
ResNet (SiLU/128) | L:0.2 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37199 (Epoch 570)
ResNet (SiLU/32) | L:0.5 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37204 (Epoch 1420)
ResNet (SiLU/128) | L:2.0 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37216 (Epoch 430)
ResNet (SiLU/32) | L:0.2 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.37221 (Epoch 1400)
ResNet (SiLU/128) | L:2.0 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37229 (Epoch 480)
ResNet (SiLU/128) | L:0.5 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37237 (Epoch 430)
ResNet (SiLU/128) | L:0.5 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.37244 (Epoch 960)
ResNet (SiLU/128) | L:0.2 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37300 (Epoch 430)
ResNet (SiLU/128) | L:0.5 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.37304 (Epoch 890)
ResNet (SiLU/128) | L:0.2 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37314 (Epoch 430)
ResNet (SiLU/128) | L:0.2 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37317 (Epoch 430)
ResNet (SiLU/128) | L:0.2 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37327 (Epoch 500)
ResNet (SiLU/128) | L:0.5 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37345 (Epoch 550)
