Lch,Wch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
22.81,36.51,1.4,2.26,6.73545285483375e-6,9.89460533731715e-11,0.2185199665586711,61.51729849055576,7.8579233972441e-6,7.62181503414437e-10,-0.156776725463843,59.91201385217381
42.06,19.22,1.12,2.99,2.84786372535097e-6,2.18544746061924e-11,0.2228376991314826,62.45221180290147,4.07784012334601e-6,1.14055164505574e-10,-0.1717113019680865,59.017158190344375
21.26,14.55,1.31,1.21,3.0346216962872e-6,3.46433641767391e-11,0.2213542474630955,62.41058180799014,2.78643056435761e-6,1.53334177215052e-10,-0.1756407897722853,60.12132205027403
39.63,29.07,0.25,1.61,6.32545204129836e-6,2.89310366541736e-11,0.2216776155879467,60.31477227430532,5.76956604468003e-6,2.53602464102635e-11,-0.2214260475174011,58.570047100665306
15.28,30.73,0.57,1.78,7.77949693539795e-6,1.14843726788227e-10,0.2163557252635094,61.39760621388775,6.49742609528429e-6,1.95045212594996e-10,-0.1988900168747651,61.99688340568182
15.4,85.09,0.37,2.33,2.21945618377861e-5,3.46691216744064e-10,0.2141539029735619,60.89400271911725,1.9264721495865e-5,5.12404313073545e-10,-0.2009309861131884,62.16716486324223
23.21,34.43,0.21,2.19,8.57130001381315e-6,7.01678794290128e-11,0.2183184909814964,62.06945239575499,7.15345914543366e-6,6.20644282940536e-11,-0.2179913855302109,60.708769919638804
31.55,19.61,1.14,2.04,3.45811616836809e-6,2.97053645498802e-11,0.2224776978393777,62.43740935023745,4.18876242584731e-6,1.54595861852346e-10,-0.1725319985849322,59.315343241216816
7.2,18.11,0.24,1.65,5.46766396520678e-6,1.98925839406329e-10,0.2109993681387403,61.726337048573555,3.94380907204463e-6,1.62334909232251e-10,-0.2148173325860918,60.803844379218404
27.01,13.58,0.96,2.99,2.56294779852942e-6,2.76822014729097e-11,0.2189441049999881,61.882597567363696,2.76880663011486e-6,1.02614770979027e-10,-0.1771198937279957,60.83179666594233
24.38,92.63,0.94,2.75,1.79758052802768e-5,2.29520297927693e-10,0.2171943044937907,61.34153399873653,2.0056182175645e-5,9.10536484827689e-10,-0.1741282475710359,59.845261557373966
42.28,44.52,1.36,2.98,6.02721749638294e-6,5.27579489165313e-11,0.2233610978414776,62.590380551054025,9.6680265814731e-6,4.36901399686314e-10,-0.1576666294000604,60.19182396798052
15.38,25.17,1.35,1.54,5.70000923459427e-6,1.18685668825611e-10,0.214712303827953,61.12032424796167,5.41682991056439e-6,8.18091185434472e-10,-0.1583436308735726,60.50332652285413
37.16,13.11,1.49,2.83,1.97581371841427e-6,1.79977955856821e-11,0.2223188435242315,62.46307802364985,2.55916401831174e-6,1.64543424535876e-10,-0.1557100231328011,59.565693573682175
11.13,71.1,0.85,2.53,1.7732529608257e-5,8.13521331188991e-10,0.2055268375240284,63.98213233324648,1.51124270830745e-5,3.39058852900297e-9,-0.159718507044311,61.28872380191762
29.99,84.13,1.32,2.16,1.41568393767609e-5,1.51412954993632e-10,0.2205116201972949,61.98064924770166,1.83939868440651e-5,1.05693024741008e-9,-0.1604833823565699,61.08177070031374
25.04,59.25,0.81,1.44,1.27954801440873e-5,1.10480134280806e-10,0.2207946376954598,62.09910356118949,1.30985516339261e-5,2.37205218988821e-10,-0.1946345390100306,60.618988115048595
26.79,69.69,0.88,1.38,1.38185085566678e-5,1.16967375311954e-10,0.2225411205925611,61.84653799552792,1.53536403864011e-5,2.98018315096243e-10,-0.1914147198432405,59.561173759470854
16.95,12.82,1.18,1.93,2.8280046019834e-6,4.82248843075886e-11,0.2165720090569354,61.227760989022464,2.54228045431385e-6,2.29178954643407e-10,-0.1708349898746921,61.04481689255913
22.68,88.85,1.26,1.52,1.74491348211659e-5,2.09046960749734e-10,0.2206708977988423,62.14055503447047,1.9231830282792e-5,1.05562011783614e-9,-0.1714221720938261,59.34539522543991
32.59,70.43,1.28,1.63,1.13814746958131e-5,1.0222212505678e-10,0.2234433042127287,62.39983590667356,1.47402440511932e-5,5.8704671885271e-10,-0.1699272287016114,59.314414554809815
40.99,98.92,0.99,1.87,1.59182312483247e-5,1.07631020620257e-10,0.2231143828464396,61.78107684082207,2.20990393100274e-5,3.80933662751935e-10,-0.181745266758193,60.384271419424906
31.92,70.79,0.72,1.35,1.41983233702911e-5,9.30032949488828e-11,0.2232180374518795,61.14500075976208,1.53909460073976e-5,1.74833149525243e-10,-0.2007182176287559,60.27422979682537
33.9,85.92,0.7,2.77,1.55610396361651e-5,1.2592752261244e-10,0.2200802234076747,62.1887411433282,1.93268233369456e-5,3.24265839631475e-10,-0.1894577201292956,59.09590518639188
32.88,94.28,0.92,1.88,1.69283754158139e-5,1.31622911619579e-10,0.222449153551127,62.040061028030586,2.11614986756656e-5,4.207949901408e-10,-0.1852238096851493,59.834385792020534
14.03,48.73,1.33,2.08,1.09724798832026e-5,3.21542719949058e-10,0.2115951342677053,63.543117472810984,1.09057008192797e-5,3.06435278063159e-9,-0.1454250371140048,62.34194639472091
14.03,78.46,0.51,1.88,2.0627400841267e-5,3.29301021932608e-10,0.2160591409689573,61.32100250170162,1.75902827913714e-5,5.79991838995165e-10,-0.1982017363932426,61.906745984722775
26.63,17.58,0.76,2.45,3.60025151789012e-6,3.29153000757051e-11,0.2201205830274292,62.27110834365202,3.702696684206e-6,7.8491638214427e-11,-0.1911553730116639,59.56501210665413
