DeepMLP (ELU/64) | L:0 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0.2 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08556 (Epoch 390)
ResNet (ELU/16) | L:0.5 W:50 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08556 (Epoch 2990)
ResNet (ELU/16) | L:0.5 W:150 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08557 (Epoch 3000)
DeepMLP (SiLU/16) | L:0 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08557 (Epoch 2260)
DeepMLP (SiLU/16) | L:0 W:50 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08557 (Epoch 2260)
DeepMLP (SiLU/16) | L:0 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08557 (Epoch 2260)
DeepMLP (SiLU/16) | L:0 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08557 (Epoch 2260)
DeepMLP (SiLU/16) | L:0 W:100 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08557 (Epoch 2260)
DeepMLP (SiLU/16) | L:0 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08557 (Epoch 2260)
DeepMLP (SiLU/16) | L:0 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08557 (Epoch 2260)
DeepMLP (SiLU/16) | L:0 W:150 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08557 (Epoch 2260)
