size,test_mse,seed
1161,0.08623763918876648,116147
1161,0.08558150380849838,116148
1161,0.09113391488790512,116149
1161,0.08979789912700653,116150
1161,0.08861476182937622,116151
879,0.09511658549308777,87943
879,0.0891791582107544,87942
879,0.09182917326688766,87944
879,0.08987542986869812,87945
879,0.09158319979906082,87947
879,0.09346762299537659,87946
879,0.08940392732620239,87948
879,0.09423378854990005,87950
879,0.09042546153068542,87949
505,0.10543858259916306,50542
879,0.09134868532419205,87951
505,0.10658033192157745,50543
505,0.10035055875778198,50545
505,0.09388568997383118,50544
505,0.10490110516548157,50546
505,0.10067420452833176,50549
505,0.09753331542015076,50547
505,0.10073677450418472,50548
505,0.10380033403635025,50550
1083,0.08898627012968063,108342
505,0.09513813257217407,50551
1083,0.08585645258426666,108343
1083,0.08845047652721405,108345
1083,0.08653399348258972,108344
1083,0.08698974549770355,108346
1083,0.09146611392498016,108347
1083,0.09098776429891586,108348
1083,0.08508265018463135,108349
1083,0.09094957262277603,108350
1083,0.0885399803519249,108351
1245,0.08857636898756027,124542
1245,0.08604861050844193,124543
1245,0.08790717273950577,124544
1245,0.08899649977684021,124545
1245,0.08633561432361603,124546
1245,0.08632774651050568,124547
1245,0.08675440400838852,124548
1245,0.08673448115587234,124549
1245,0.08876706659793854,124550
289,0.11563370376825333,28942
289,0.10687632858753204,28943
1245,0.08593181520700455,124551
289,0.12469492852687836,28944
289,0.0958172157406807,28946
289,0.11046669632196426,28945
289,0.10205931961536407,28947
289,0.10112159699201584,28948
289,0.11036688834428787,28949
289,0.1172918826341629,28950
289,0.11251518875360489,28951
942,0.09062215685844421,94242
942,0.09078226238489151,94243
942,0.09764635562896729,94244
942,0.08976081758737564,94245
942,0.0871330201625824,94247
942,0.0889071673154831,94246
942,0.08579003810882568,94250
942,0.09066919982433319,94248
942,0.08899682760238647,94249
219,0.13811607658863068,21942
219,0.16788704693317413,21944
942,0.0900353416800499,94251
219,0.10973433405160904,21943
219,0.13490349054336548,21945
219,0.12399599701166153,21947
219,0.12149932980537415,21946
219,0.1278235912322998,21950
219,0.11705167591571808,21948
219,0.12194559723138809,21949
219,0.11658691614866257,21951
541,0.1035863533616066,54142
541,0.09766882658004761,54143
541,0.09507329761981964,54144
541,0.09854209423065186,54145
541,0.09302450716495514,54146
541,0.0990971103310585,54147
541,0.09399988502264023,54148
541,0.09996981173753738,54149
541,0.09573539346456528,54150
102,0.137787863612175,10242
102,0.19728107750415802,10243
541,0.09421490132808685,54151
102,0.16833898425102234,10245
102,0.17369525134563446,10246
102,0.16318883001804352,10244
102,0.1834198236465454,10247
102,0.14957061409950256,10248
102,0.1722806841135025,10249
102,0.15992526710033417,10250
204,0.13613516092300415,20442
102,0.15214446187019348,10251
204,0.13168859481811523,20443
204,0.1270400732755661,20445
204,0.11811282485723495,20444
204,0.11717458069324493,20446
204,0.11214281618595123,20447
204,0.1111442968249321,20448
204,0.11383453756570816,20449
204,0.15021373331546783,20450
204,0.14369983971118927,20451
409,0.09854092448949814,40942
409,0.11901190876960754,40944
409,0.10389001667499542,40943
409,0.10208941251039505,40945
409,0.09481596946716309,40946
409,0.10736317187547684,40947
409,0.11183527857065201,40950
409,0.10180811583995819,40948
409,0.09435632079839706,40949
409,0.09837634116411209,40951
821,0.0941828116774559,82143
821,0.09641317278146744,82142
821,0.09029656648635864,82144
821,0.09085338562726974,82146
821,0.08722779899835587,82145
821,0.09466194361448288,82149
821,0.08554515987634659,82147
821,0.09642769396305084,82148
821,0.09872294217348099,82151
234,0.13738279044628143,23442
821,0.08826494961977005,82150
234,0.11685894429683685,23443
234,0.09470710158348083,23444
234,0.11182013154029846,23445
234,0.12280123680830002,23448
234,0.11282816529273987,23447
234,0.11202147603034973,23446
234,0.1130068227648735,23449
234,0.10691270232200623,23451
234,0.10998263210058212,23450
117,0.1679374724626541,11742
117,0.16813528537750244,11743
117,0.1626652628183365,11746
117,0.13267754018306732,11744
117,0.13513414561748505,11745
117,0.14772428572177887,11747
117,0.1530553251504898,11749
117,0.15722236037254333,11748
117,0.1927080601453781,11750
117,0.12775808572769165,11751
471,0.09956333041191101,47142
